N,Triton,Torch,Naive
256.000000,100.099481,133.905623,68.734123
384.000000,116.301914,133.475926,71.624289
512.000000,115.420924,128.459415,74.489456
640.000000,119.725109,130.932021,74.061367
768.000000,122.866792,135.268311,74.983120
896.000000,121.535144,136.143223,71.721443
1024.000000,119.243885,131.703559,69.575067
1152.000000,121.833265,116.159100,66.909720
1280.000000,125.095106,122.911848,65.609103
1408.000000,125.489761,130.924989,63.928305
1536.000000,127.750694,140.879044,62.291107
1664.000000,127.862684,145.232677,59.059446
1792.000000,130.051657,145.828089,56.881193
1920.000000,131.306228,144.325426,54.151197
2048.000000,133.015449,144.577258,51.182078
2176.000000,131.529183,143.739348,48.237853
2304.000000,130.280257,143.920289,46.844812
2432.000000,131.145408,143.239665,44.638178
2560.000000,131.720829,143.163899,43.100145
2688.000000,132.817068,143.891715,41.743736
2816.000000,133.371676,144.335742,41.232028
2944.000000,134.936784,143.366191,40.721463
3072.000000,135.759967,143.036737,39.960977
3200.000000,135.433855,142.839157,40.002027
3328.000000,135.137187,143.743533,39.756474
3456.000000,135.747095,143.476049,39.589529
3584.000000,136.603204,144.121427,39.342059
3712.000000,136.705692,145.088973,39.321446
3840.000000,137.253790,145.267846,39.103771
3968.000000,136.486342,145.485520,38.957461
4096.000000,137.836256,145.966081,38.883495
4224.000000,138.602956,145.265097,38.643004
4352.000000,140.060007,146.269719,38.449314
4480.000000,138.853161,145.671197,38.238775
4608.000000,139.296641,145.768041,38.013674
4736.000000,139.297206,145.658510,37.959388
4864.000000,139.366126,146.775789,37.911098
4992.000000,139.574499,146.362841,37.843543
5120.000000,140.294450,147.924376,37.787050
5248.000000,139.858733,147.715699,37.682234
5376.000000,140.295917,148.278676,37.670769
5504.000000,140.193782,147.986497,37.598807
5632.000000,140.426181,148.395358,37.527380
5760.000000,140.197376,147.664362,37.499999
5888.000000,140.436929,148.683278,37.453882
6016.000000,140.204325,148.311934,37.395654
6144.000000,140.360060,148.348112,37.289269
6272.000000,140.140693,147.780416,37.197464
