N,Triton,Torch,Naive
256.000000,174.450101,204.691675,435.680422
384.000000,185.008394,207.619841,464.809083
512.000000,197.958683,210.746679,472.865467
640.000000,198.351455,220.185608,476.312377
768.000000,188.827640,214.634202,480.464618
896.000000,189.614061,218.991896,463.341250
1024.000000,196.609616,218.349358,446.428040
1152.000000,195.297276,188.370018,430.435535
1280.000000,195.564982,198.085178,416.783830
1408.000000,199.625751,210.916618,414.667249
1536.000000,207.424270,228.287862,401.498291
1664.000000,204.949372,227.932253,387.465458
1792.000000,206.893156,234.347355,365.439057
1920.000000,209.148664,233.584747,346.647300
2048.000000,213.217297,230.940752,332.033866
2176.000000,208.032431,232.799209,309.095899
2304.000000,210.116374,229.249766,296.464324
2432.000000,208.644887,231.522769,288.156906
2560.000000,207.778576,228.953203,276.269396
2688.000000,209.474887,229.758397,267.472011
2816.000000,214.361670,231.537998,263.414759
2944.000000,215.513235,230.719529,259.236221
3072.000000,217.328413,232.292179,256.392800
3200.000000,216.726750,231.229629,255.858499
3328.000000,216.627270,230.943463,253.692418
3456.000000,214.006954,233.558568,251.958654
3584.000000,216.424153,231.952463,250.506003
3712.000000,218.849419,232.091850,251.187075
3840.000000,218.222603,233.014488,249.499421
3968.000000,218.461865,233.038459,247.294940
4096.000000,219.598383,231.807807,247.845095
4224.000000,221.520854,230.997558,245.707181
4352.000000,222.018336,233.766917,243.838138
4480.000000,222.163794,232.362823,244.553832
4608.000000,221.342725,234.398076,243.277863
4736.000000,221.701893,234.341229,243.562546
4864.000000,222.672733,234.403929,242.317103
4992.000000,222.572374,233.508281,242.495365
5120.000000,224.410218,234.923186,241.661809
5248.000000,223.234181,234.759163,241.178975
5376.000000,223.963378,235.774549,241.118925
5504.000000,223.701462,233.895769,240.575480
5632.000000,224.811830,236.272377,240.617238
5760.000000,224.146461,234.957557,239.664674
5888.000000,223.892231,235.063472,239.656039
6016.000000,224.157533,235.128139,239.142629
6144.000000,223.648215,236.114606,238.756576
6272.000000,224.501265,235.271014,238.436289
