Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
27.0,6529592979,1,6529592979.0,6529592979.0,6529592979,6529592979,0.0,PushPop,:Profiling
16.7,4027102368,1,4027102368.0,4027102368.0,4027102368,4027102368,0.0,PushPop,:Warm-up
12.0,2898340341,15,193222689.4,145004246.0,139744371,773152683,161292018.2,PushPop,:LM Tranformer Blocks Forward Pass
8.4,2037860354,10,203786035.4,203744286.5,201172533,205495250,1416741.4,PushPop,:backward_pass
8.2,1990194570,360,5528318.3,3554407.5,3310030,612226658,32073686.1,PushPop,:PreNormTransformer_forward
6.1,1474513120,360,4095869.8,2312125.5,2156747,583560132,30629338.9,PushPop,:MultiHeadsAttention_forward
5.9,1427160810,10,142716081.0,141885788.5,140411394,145927925,2237490.6,PushPop,:forward_pass
5.8,1393625384,360,3871181.6,2090041.5,1945491,583022172,30612656.5,PushPop,:MultiHeadsAttention computation
3.3,793858132,360,2205161.5,758483.5,698099,485790370,25559619.9,PushPop,:scaled dot product attention
2.6,629543908,360,1748733.1,399324.0,363079,467275442,24604160.5,PushPop,:Compute QK^t
1.1,257529281,735,350380.0,303091.0,246586,18043159,656552.1,PushPop,:Rmsnorm_forward
0.9,227885071,720,316507.0,277209.0,241027,20547051,756897.2,PushPop,:PosEncod_forward
0.9,212955415,360,591542.8,472593.0,421496,9827456,555480.6,PushPop,:PointwiseSGLUactFFN_forward
0.4,88921162,360,247003.2,154615.0,131630,17941609,943254.3,PushPop,:Computing softmax
0.2,59932177,360,166478.3,161239.5,145790,443102,22287.2,PushPop,:Multiplied V
0.2,49664923,360,137958.1,134228.5,124182,267990,13828.5,PushPop,:Output_projection
0.1,19200987,15,1280065.8,153339.0,132972,17016250,4353353.6,PushPop,:LM Input Embedding
0.1,18783200,15,1252213.3,121489.0,98470,16985033,4352433.0,PushPop,:Embedding_forward
0.0,4609300,15,307286.7,285424.0,260832,521090,68903.0,PushPop,:LM Final Norm
0.0,2839567,15,189304.5,141829.0,133249,570004,121220.4,PushPop,:LM Output Head
